"Referencia Catastral";"Localizacion";"Clase";"Uso principal";"Superficie construida";"Construccion en ";;;;;
"38026A035000010000EI    ";"Polígono 35 Parcela 1 PARQUE NACINAL DEL TEIDE
MONTE. LA OROTAVA (S.C. TENERIFE)";"Rústico";"Agrario";"3.704 m2";1965;;;;;
"Uso principal";"Escalera";"Planta";"Puerta";"Superficie m2";"Tipo Reforma";"Fecha Reforma";"Subparcela";"Cultivo/Aprovechamiento";"Intensidad Productiva";"Superficie m2"
"AGRARIO";;;;40;;;"a";"MM PINAR MADERABLE";9;1276981
"OCIO HOSTEL.";0;1;;328;;;"b";"I- IMPRODUCTIVO";0;72292542
"OCIO HOSTEL.";;0;2;360;;;"c";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;904
"OCIO HOSTEL.";;0;3;265;;;"d";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;2302
"VIVIENDA";;0;1;309;;;"e";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;9449
"ALMACEN";;0;1;117;;;"f";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;3034
"ALMACEN";;0;2;162;;;"g";"I- IMPRODUCTIVO";0;174
"COMERCIO";;0;1;1107;;;"h";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;31339
"COMERCIO";;0;2;323;;;"i";"I- IMPRODUCTIVO";0;581
"VIVIENDA";;0;3;174;;;"j";"I- IMPRODUCTIVO";0;1995
"VIVIENDA";;0;1;303;;;"k";"VT VÍA DE COMUNICACIÓN DE DOMINIO PÚBLICO";0;7642
"VIVIENDA";;0;1;50;;;0;0;0;0
"ALMACEN";;0;3;38;;;0;0;0;0
"ALMACEN";;0;4;90;;;0;0;0;0
"ALMACEN";;0;5;38;;;0;0;0;0
"";;;;;;;;;;
